Date des Kudos,Type de Kudos,ID parent
14 oct. 2019 à 18:41:16,Activité,2787449716
20 oct. 2019 à 17:31:01,Activité,2800792146
22 oct. 2019 à 05:35:33,Activité,2805531330
24 oct. 2019 à 19:27:02,Activité,2814097033
24 oct. 2019 à 19:27:17,Activité,2808585583
31 oct. 2019 à 09:55:23,Activité,2826869008
31 oct. 2019 à 09:55:30,Activité,2824489348
31 oct. 2019 à 09:55:42,Activité,2819046120
31 oct. 2019 à 09:55:45,Activité,2819047089
17 nov. 2019 à 18:54:05,Activité,2871297578
23 nov. 2019 à 18:30:01,Activité,2885230312
23 nov. 2019 à 18:30:09,Activité,2883123333
24 nov. 2019 à 20:55:50,Activité,2887973034
28 nov. 2019 à 19:01:19,Activité,2895751361
1 déc. 2019 à 18:13:25,Activité,2902268301
4 déc. 2019 à 21:56:22,Activité,2909527231
4 déc. 2019 à 21:56:52,Activité,2908097239
8 déc. 2019 à 15:32:39,Activité,2918994587
16 déc. 2019 à 18:42:34,Activité,2934725264
16 déc. 2019 à 18:42:40,Activité,2932590757
19 déc. 2019 à 22:51:35,Activité,2942472400
19 déc. 2019 à 22:51:38,Activité,2943728745
19 déc. 2019 à 22:52:06,Activité,2941940691
23 déc. 2019 à 17:24:39,Activité,2948873493
23 déc. 2019 à 17:24:42,Activité,2947859180
24 déc. 2019 à 19:11:51,Activité,2953228321
26 déc. 2019 à 13:13:31,Activité,2956658467
26 déc. 2019 à 22:09:38,Activité,2957753865
30 déc. 2019 à 21:23:49,Activité,2967613610
31 déc. 2019 à 08:26:49,Activité,2968707516
31 déc. 2019 à 08:28:05,Activité,2962815817
31 déc. 2019 à 08:28:09,Activité,2965316825
5 janv. 2020 à 21:11:15,Activité,2983844060
7 janv. 2020 à 19:23:38,Activité,2987628616
7 janv. 2020 à 19:23:44,Activité,2989654104
7 janv. 2020 à 19:23:47,Activité,2988294523
8 janv. 2020 à 16:05:07,Activité,2992756592
8 janv. 2020 à 16:05:18,Activité,2991129542
9 janv. 2020 à 18:21:27,Activité,2994186339
12 janv. 2020 à 13:13:24,Activité,3002579282
12 janv. 2020 à 18:13:22,Activité,3005465315
15 janv. 2020 à 19:06:44,Activité,3011061418
18 janv. 2020 à 14:18:55,Activité,3021392181
18 janv. 2020 à 14:19:47,Activité,3017190109
18 janv. 2020 à 14:19:58,Activité,3010054236
19 janv. 2020 à 20:17:56,Activité,3024749785
19 janv. 2020 à 20:18:08,Activité,3024821371
23 janv. 2020 à 19:24:47,Activité,3033394256
23 janv. 2020 à 19:24:53,Activité,3033239933
24 janv. 2020 à 19:53:30,Activité,3038764777
27 janv. 2020 à 19:34:41,Activité,3045492331
27 janv. 2020 à 19:34:46,Activité,3043833119
27 janv. 2020 à 19:34:52,Activité,3044997829
28 janv. 2020 à 06:52:38,Activité,3045750831
30 janv. 2020 à 19:22:01,Activité,3055752380
7 févr. 2020 à 07:31:29,Activité,3077005186
7 févr. 2020 à 07:31:46,Activité,3071354542
7 févr. 2020 à 07:31:52,Activité,3076392692
7 févr. 2020 à 07:31:55,Activité,3069041008
11 févr. 2020 à 19:07:33,Activité,3085492142
15 févr. 2020 à 06:26:12,Activité,3088562044
19 févr. 2020 à 18:19:40,Activité,3111253716
19 févr. 2020 à 18:20:10,Activité,3104316361
19 févr. 2020 à 18:20:16,Activité,3101644417
19 févr. 2020 à 18:20:28,Activité,3098729634
21 févr. 2020 à 13:26:06,Activité,3118989108
21 févr. 2020 à 13:26:12,Activité,3117036458
26 févr. 2020 à 06:28:01,Activité,3130190832
26 févr. 2020 à 06:33:17,Activité,3125012121
26 févr. 2020 à 06:35:31,Activité,3125070526
26 févr. 2020 à 06:35:31,Activité,3122557404
1 mars 2020 à 17:31:14,Activité,3143971969
1 mars 2020 à 17:31:58,Activité,3144575996
1 mars 2020 à 17:32:13,Activité,3144305198
8 mars 2020 à 15:19:34,Activité,3164380748
13 mars 2020 à 06:30:18,Activité,3177474928
13 mars 2020 à 06:30:31,Activité,3176721917
13 mars 2020 à 06:30:36,Activité,3171008468
13 mars 2020 à 06:30:44,Activité,3165760101
13 mars 2020 à 06:30:49,Activité,3166374894
11 avr. 2020 à 07:12:49,Activité,3277016910
11 avr. 2020 à 13:41:01,Activité,3269465590
11 avr. 2020 à 13:41:07,Activité,3268581700
12 avr. 2020 à 07:28:45,Activité,3285701379
14 avr. 2020 à 17:13:24,Activité,3294429359
16 avr. 2020 à 13:06:03,Activité,3305517904
16 avr. 2020 à 13:06:06,Activité,3305639589
16 avr. 2020 à 20:22:23,Activité,3308925530
25 avr. 2020 à 17:59:57,Activité,3344382916
25 avr. 2020 à 18:00:10,Activité,3334351950
25 avr. 2020 à 18:00:14,Activité,3332625524
25 avr. 2020 à 18:00:22,Activité,3325064551
25 avr. 2020 à 18:00:27,Activité,3314451458
30 avr. 2020 à 05:33:37,Activité,3372418977
15 mai 2020 à 16:31:29,Activité,3443386960
15 mai 2020 à 16:31:35,Activité,3440101166
17 mai 2020 à 10:39:03,Activité,3464725676
17 mai 2020 à 12:57:32,Activité,3465296258
