ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque maximum,Mesure d'effort,Déplacement-transport,Équipement utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque maximum,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Mesure d'effort,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Mesure d'effort ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
133710768,24 avr. 2014 à 16:07:32,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,2180,"5,15",,,false,,activities/146318465.fit.gz,74.0,,2180.0,1948.0,5152.39990234375,5.5,,0.0,,21.399999618530273,31.299999237060547,21.399999618530273,0.036876000463962555,,,,,,,,,470.9867248535156,,17.0,,,,,,,,,,,,,,0.0,,,5180.10009765625,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
134232463,26 avr. 2014 à 06:40:15,Saint-Nazaire - Vélo - Cyclemeter,Vélo,,3420,"27,53",,,false,BMC streetfire,activities/146882220.fit.gz,74.0,9.0,3420.0,3420.0,27533.69921875,14.0,,133.8000030517578,,0.6000000238418579,45.29999923706055,8.800000190734863,-0.0014527699677273631,,,,,,,,165.4459991455078,630.8952026367188,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
134639716,27 avr. 2014 à 09:19:28,Saint-Nazaire - Course - Cyclemeter,Course à pied,,2701,"7,06",,,false,,activities/147328965.fit.gz,74.0,,2701.0,2364.0,7067.60009765625,5.599999904632568,,23.399999618530273,,13.899999618530273,35.599998474121094,16.700000762939453,0.0,,,,,,,,,645.2666015625,,,,,,,,,,,,,,,,0.0,,,7096.89990234375,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
135046602,28 avr. 2014 à 06:05:03,Saint-Nazaire - Vélo - Cyclemeter,Vélo,,9537,"62,40",,,false,BMC streetfire,activities/147778121.fit.gz,74.0,9.0,9537.0,7878.0,62399.6015625,13.300000190734863,,179.72000122070312,,-0.6000000238418579,45.5,13.0,-0.0019230899633839726,,,,,,,,152.25799560546875,1337.4296875,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
135740647,30 avr. 2014 à 06:30:16,Saint-Nazaire - Vélo - Cyclemeter,Vélo,,8818,"70,15",,,false,BMC streetfire,activities/148531653.fit.gz,74.0,9.0,8818.0,8745.0,70151.6015625,13.600000381469727,,216.77999877929688,,0.0,57.29999923706055,12.100000381469727,-0.0014254800044000149,,,,,,,,155.6230010986328,1517.4293212890625,,7.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
136440377,2 mai 2014 à 06:24:52,Saint-Nazaire - Vélo - Cyclemeter,Vélo,,6420,"50,60",,,false,BMC streetfire,activities/149311908.fit.gz,74.0,9.0,6420.0,6420.0,50602.3984375,13.0,,192.52000427246094,,-0.10000000149011612,55.900001525878906,11.199999809265137,-0.0015809499891474843,,,,,,,,152.5709991455078,1092.1490478515625,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
137146071,4 mai 2014 à 06:40:34,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,2078,"6,41",,,false,,activities/150079479.fit.gz,74.0,,2078.0,2006.0,6415.10009765625,5.5,,75.87999725341797,80.68000030517578,24.399999618530273,88.19999694824219,19.399999618530273,-0.07482349872589111,,,,,,,,,591.3678588867188,,7.0,,,,,,,,,,,,,,0.0,,,6504.10009765625,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
137665787,5 mai 2014 à 10:23:31,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,1593,"5,50",,,false,,activities/150649348.fit.gz,74.0,,1593.0,1593.0,5499.7001953125,5.5,,0.0,,23.399999618530273,29.100000381469727,16.799999237060547,0.0,,,,,,,,,501.3729553222656,,17.0,,,,,,,,,,,,,,0.0,,,5514.2998046875,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
138798068,8 mai 2014 à 08:10:37,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,6738,"53,34",,,false,BMC streetfire,activities/151877490.fit.gz,74.0,9.0,6738.0,6555.0,53340.80078125,15.300000190734863,,241.94000244140625,303.239990234375,19.200000762939453,112.4000015258789,17.5,-0.11492100358009338,,,,,,,,163.79100036621094,1197.1197509765625,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
142448311,18 mai 2014 à 05:30:36,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,7195,"51,04",,,false,BMC streetfire,activities/155864225.gpx.gz,74.0,9.0,7195.0,6546.0,51048.6015625,13.5,,331.9599914550781,336.760009765625,21.5,111.9000015258789,20.700000762939453,-0.009402800351381302,,,,,,,,162.3470001220703,1184.9366455078125,,14.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
143002521,19 mai 2014 à 10:23:19,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,1577,"5,53",,,false,,activities/156473833.gpx.gz,74.0,,1577.0,1567.0,5535.7001953125,5.599999904632568,,0.0,,23.100000381469727,29.399999618530273,42.20000076293945,0.001806459971703589,,,,,,,,,504.9825744628906,,21.0,,,,,,,,,,,,,,0.0,,,5554.0,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
145229116,25 mai 2014 à 05:14:27,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,8624,"65,05",,,false,BMC streetfire,activities/158919293.gpx.gz,74.0,9.0,8624.0,8327.0,65053.30078125,13.699999809265137,,354.70001220703125,358.70001220703125,19.200000762939453,112.30000305175781,28.0,-0.006148799788206816,,,,,,,,152.58700561523438,1416.7100830078125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
